Title,Price,Location,Bed,Bath,Area,Badges,Listing Time,Thumbnail
House For Sale Fully Renovated,4.5 Crore,"Gulshan-e-Iqbal - Block 10-A, Gulshan-e-Iqbal",6.0,6.0,240 Sq. Yd.,['Hot badge'],Added: 4 days ago,https://media.zameen.com/thumbnails/194029406-400x300.webp
BRAND NEW FLAT FOR SALE IN SHAZ RESIDENCY SCHEME 33 KARACHI,70 Lakh,"Shaz Residency, Gulshan-e-Iqbal Town",2.0,2.0,89 Sq. Yd.,['Hot badge'],Added: 4 days ago (Updated: 3 days ago),https://media.zameen.com/thumbnails/203155849-400x300.webp
Gallant Summit 3bed D D 2nd Fully Tiles Flooring Main University Road Near Agpr Nipa,1.25 Crore,"Gulshan-e-Iqbal - Block 11, Gulshan-e-Iqbal",3.0,3.0,156 Sq. Yd.,['Trusted badge'],Added: 4 days ago (Updated: 3 days ago),https://media.zameen.com/thumbnails/176254867-400x300.webp
"600 Yard Double Storey House On 60 Feet Road In Block 4, Gulshan-e-iqbal",9.5 Crore,"Gulshan-e-Iqbal - Block 4, Gulshan-e-Iqbal",8.0,6.0,600 Sq. Yd.,['Trusted badge'],Added: 4 days ago (Updated: 3 days ago),https://media.zameen.com/thumbnails/177257296-400x300.webp
"240 Yard Double Storey West Open Well Maintained House In Block 1, Gulshan-e-iqbal",5.5 Crore,"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal",5.0,5.0,240 Sq. Yd.,['Trusted badge'],Added: 4 days ago (Updated: 3 days ago),https://media.zameen.com/thumbnails/177282154-400x300.webp
900 Square Feet Flat Ideally Situated In Gulshan-E-Iqbal - Block 11,70 Lakh,"Gulshan-e-Iqbal - Block 11, Gulshan-e-Iqbal",2.0,2.0,100 Sq. Yd.,['Trusted badge'],Added: 4 days ago (Updated: 4 days ago),https://media.zameen.com/thumbnails/169425718-400x300.webp
240 Sq Yards G 1 Maintained House Gulshan Block 5 For Sale,5.5 Crore,"Gulshan-e-Iqbal - Block 5, Gulshan-e-Iqbal",6.0,6.0,240 Sq. Yd.,['Trusted badge'],Added: 4 days ago (Updated: 3 days ago),https://media.zameen.com/thumbnails/171625023-400x300.webp
200 Sq. yd House Gulshan Block 7 For Sale,5 Crore,"Gulshan-e-Iqbal - Block 7, Gulshan-e-Iqbal",4.0,4.0,200 Sq. Yd.,['Trusted badge'],Added: 4 days ago (Updated: 3 days ago),https://media.zameen.com/thumbnails/171630115-400x300.webp
2nd Floor Portion 3 Bed Dd 240 Sqyds Near Continental Bakery Block 1 Gulshan-e-iqbal,1.9 Crore,"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal",3.0,3.0,240 Sq. Yd.,['Trusted badge'],Added: 4 days ago (Updated: 3 days ago),https://media.zameen.com/thumbnails/183476932-400x300.webp
Gold Front Apartment 3bed D D Brand New Main Nipa Chowrangi Near Chase Value,1.75 Crore,"Gulshan-e-Iqbal - Block 10, Gulshan-e-Iqbal",3.0,3.0,161 Sq. Yd.,['Trusted badge'],Added: 4 days ago (Updated: 4 days ago),https://media.zameen.com/thumbnails/177921904-400x300.webp
BRAND NEW FLAT FOR SALE IN SHAZ RESIDENCY SCHEME 33 KARACHI,95 Lakh,"Shaz Residency, Gulshan-e-Iqbal Town",2.0,2.0,128 Sq. Yd.,['Hot badge'],Added: 4 days ago (Updated: 3 days ago),https://media.zameen.com/thumbnails/203161956-400x300.webp
BRAND NEW FLAT FOR SALE IN SHAZ RESIDENCY SCHEME 33 KARACHI,1.26 Crore,"Shaz Residency, Gulshan-e-Iqbal Town",3.0,3.0,167 Sq. Yd.,['Hot badge'],Added: 4 days ago (Updated: 3 days ago),https://media.zameen.com/thumbnails/203155825-400x300.webp
BRAND NEW FLAT FOR SALE IN SHAZ RESIDENCY SCHEME 33 KARACHI,71 Lakh,"Shaz Residency, Gulshan-e-Iqbal Town",2.0,2.0,89 Sq. Yd.,['Hot badge'],Added: 4 days ago (Updated: 3 days ago),https://media.zameen.com/thumbnails/203161722-400x300.webp
House For Sale In Prime Location Of Gulshan-e-iqbal,2.6 Crore,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",3.0,3.0,120 Sq. Yd.,"['Hot badge', 'Trusted badge']",Added: 4 days ago,https://media.zameen.com/thumbnails/197069791-400x300.webp
Ultra Modern Style Owner Build With Quality Construction,7.5 Crore,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",6.0,6.0,240 Sq. Yd.,"['Hot badge', 'Trusted badge']",Added: 5 days ago (Updated: 4 days ago),https://media.zameen.com/thumbnails/202575182-400x300.webp
Tile Flooring 1st Floor West Open Flat For Sale,80 Lakh,"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal",2.0,2.0,100 Sq. Yd.,"['Hot badge', 'Trusted badge']",Added: 5 days ago,https://media.zameen.com/thumbnails/176306418-400x300.webp
House Of 120 Sq. Yd In Gulshan-e-iqbal Town - Karachi Is Available,2.75 Crore,"Gulshan-e-Iqbal - Block 13/D-1, Gulshan-e-Iqbal",,,120 Sq. Yd.,['Hot badge'],Added: 1 week ago,https://media.zameen.com/thumbnails/157545335-400x300.webp
Ideal House Is Available For sale In Karachi,5.8 Crore,"Gulshan-e-Iqbal - Block 5, Gulshan-e-Iqbal",6.0,6.0,240 Sq. Yd.,['Hot badge'],Added: 1 week ago,https://media.zameen.com/thumbnails/199082541-400x300.webp
10th Floor For Sale Kareem Residence,1.2 Crore,"Gulshan-e-Iqbal - Block 13/D-3, Gulshan-e-Iqbal",2.0,3.0,106 Sq. Yd.,['Hot badge'],Added: 1 week ago (Updated: 1 week ago),https://media.zameen.com/thumbnails/202480344-400x300.webp
240 Yard Renovated House Block 2 Gulshan,5.5 Crore,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",6.0,6.0,240 Sq. Yd.,['Hot badge'],Added: 1 week ago (Updated: 1 week ago),https://media.zameen.com/thumbnails/202422277-400x300.webp
3bed Dd Harmain Royal Residency Block 1 Gulshan,1.65 Crore,"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal",3.0,3.0,167 Sq. Yd.,['Hot badge'],Added: 1 week ago (Updated: 1 week ago),https://media.zameen.com/thumbnails/202427246-400x300.webp
Bungalow For Sale,4.25 Crore,"Gulshan-e-Iqbal - Block 19, Gulshan-e-Iqbal",5.0,4.0,160 Sq. Yd.,['Hot badge'],Added: 1 week ago,https://media.zameen.com/thumbnails/193841852-400x300.webp
"240 Yards, Ground Floor Portion Is Available For Sale.",2.3 Crore,"Gulshan-e-Iqbal - Block 3, Gulshan-e-Iqbal",3.0,3.0,240 Sq. Yd.,['Hot badge'],Added: 2 weeks ago (Updated: 1 week ago),https://media.zameen.com/thumbnails/202138853-400x300.webp
200 Sq. Yards House On Sale,7.75 Crore,"CP Barar Society, Gulshan-e-Iqbal Town",3.0,3.0,200 Sq. Yd.,['Hot badge'],Added: 2 weeks ago,https://media.zameen.com/thumbnails/198415348-400x300.webp
"2 Bed D. d, 2nd Floor Available For Sale Blk 4 Gulshan",1.1 Crore,"Gulshan-e-Iqbal - Block 4, Gulshan-e-Iqbal",2.0,2.0,100 Sq. Yd.,['Hot badge'],Added: 3 weeks ago (Updated: 3 weeks ago),https://media.zameen.com/thumbnails/200629838-400x300.webp
"240 Yards, Brand New Ground Floor Portion Available For Sale.",3 Crore,"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal",3.0,3.0,240 Sq. Yd.,['Hot badge'],Added: 3 weeks ago (Updated: 3 weeks ago),https://media.zameen.com/thumbnails/200629758-400x300.webp
Gorgeous 500 Square Yards House For sale Available In Gulshan-e-Jamal,9.35 Crore,"Gulshan-e-Jamal, Gulshan-e-Iqbal Town",5.0,6.0,500 Sq. Yd.,['Hot badge'],Added: 9 hours ago,https://images.zameen.com/smap/400/300/24.895312/67.117238/image.jpeg?quality=80&imageformat=jpeg
Flat Is Available For Sale,1.05 Crore,"Gulshan-e-Iqbal - Block 11, Gulshan-e-Iqbal",2.0,2.0,100 Sq. Yd.,['Trusted badge'],Added: 4 days ago (Updated: 3 days ago),https://media.zameen.com/thumbnails/180975105-400x300.webp
"Gallant Court Apartment 2 Bed D/D Ground Opposite To Ibn-e-sina Hospital, Main University Road",90 Lakh,"Gulshan-e-Iqbal - Block 11, Gulshan-e-Iqbal",2.0,2.0,94 Sq. Yd.,['Trusted badge'],Added: 4 days ago (Updated: 3 days ago),https://media.zameen.com/thumbnails/181448610-400x300.webp
400 Sq Yard Fully Maintained House,10.5 Crore,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal",8.0,8.0,400 Sq. Yd.,['Trusted badge'],Added: 4 days ago (Updated: 3 days ago),https://media.zameen.com/thumbnails/188002316-400x300.webp
400 Sq Yard Ground 2 Well Maintain House In Prime Location,8.5 Crore,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal",7.0,6.0,400 Sq. Yd.,['Trusted badge'],Added: 4 days ago (Updated: 3 days ago),https://media.zameen.com/thumbnails/188432226-400x300.webp
Gulshan Plaza 2 Bed D D Fully Renovated Boundary Wall Project,1.35 Crore,"Gulshan-e-Iqbal - Block 13/B, Gulshan-e-Iqbal",2.0,2.0,122 Sq. Yd.,['Trusted badge'],Added: 4 days ago (Updated: 3 days ago),https://media.zameen.com/thumbnails/189230609-400x300.webp
1300 Square Feet Flat For sale Is Available In Gulshan-e-Iqbal - Block 13/D-2,1.2 Crore,"Gulshan-e-Iqbal - Block 13/D-2, Gulshan-e-Iqbal",3.0,3.0,144 Sq. Yd.,['Trusted badge'],Added: 4 days ago,https://media.zameen.com/thumbnails/192185490-400x300.webp
600 Yard Double Storey West Open House On 60 Feet Wide Road,9.7 Crore,"Gulshan-e-Iqbal - Block 7, Gulshan-e-Iqbal",7.0,6.0,600 Sq. Yd.,['Trusted badge'],Added: 4 days ago (Updated: 3 days ago),https://media.zameen.com/thumbnails/189921358-400x300.webp
120 Sq. yd Brand New Portion For Sale,1.45 Crore,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal",2.0,3.0,120 Sq. Yd.,['Trusted badge'],Added: 4 days ago (Updated: 3 days ago),https://media.zameen.com/thumbnails/191960149-400x300.webp
2000 Square Feet Flat For sale In Gulshan-e-Iqbal - Block 16 Karachi,4 Crore,"Gulshan-e-Iqbal - Block 16, Gulshan-e-Iqbal",3.0,3.0,222 Sq. Yd.,['Hot badge'],Added: 18 hours ago,https://images.zameen.com/smap/400/300/24.903565/67.081525/image.jpeg?quality=80&imageformat=jpeg
3 Bed D/D (240 Sq. Yard) Ground Floor Portion In Gulshan E Iqbal Block 1 (West Open),2.95 Crore,"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal",3.0,3.0,240 Sq. Yd.,"['Hot badge', 'Trusted badge']",Added: 1 day ago,https://images.zameen.com/smap/400/300/24.920535/67.08312/image.jpeg?quality=80&imageformat=jpeg
3 bed. d. d First Floor Portion Viper Block 6 Gulshan E Iqbal,1.7 Crore,"Gulshan-e-Iqbal, Gulshan-e-Iqbal Town",3.0,3.0,170 Sq. Yd.,['Hot badge'],Added: 5 days ago,https://images.zameen.com/smap/400/300/24.916643/67.096539/image.jpeg?quality=80&imageformat=jpeg
Prime Location 400 Square Yards House For sale In The Perfect Location Of Gulshan-e-Iqbal - Block 5,8.5 Crore,"Gulshan-e-Iqbal - Block 5, Gulshan-e-Iqbal",,,400 Sq. Yd.,['Hot badge'],Added: 1 week ago,https://images.zameen.com/smap/400/300/24.919484/67.089765/image.jpeg?quality=80&imageformat=jpeg
You Can Find A Gorgeous Prime Location House For sale In Gulshan-e-Iqbal - Block 5,7.6 Crore,"Gulshan-e-Iqbal - Block 5, Gulshan-e-Iqbal",,,400 Sq. Yd.,['Hot badge'],Added: 1 week ago,https://images.zameen.com/smap/400/300/24.919484/67.089765/image.jpeg?quality=80&imageformat=jpeg
Ideally Located East Open House Of 150 Square Yards Is Available For sale In Karachi,3.5 Crore,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal",,,150 Sq. Yd.,['Hot badge'],Added: 1 week ago,https://images.zameen.com/smap/400/300/24.923765/67.09852/image.jpeg?quality=80&imageformat=jpeg
Buy 200 Square Yards House At Highly Affordable Price,4.25 Crore,"Gulshan-e-Iqbal - Block 13/D-2, Gulshan-e-Iqbal",3.0,3.0,200 Sq. Yd.,['Hot badge'],Added: 1 week ago,https://images.zameen.com/smap/400/300/24.908308/67.07207/image.jpeg?quality=80&imageformat=jpeg
Get In Touch Now To Buy A House In Gulshan-e-Iqbal - Block 7,15 Crore,"Gulshan-e-Iqbal - Block 7, Gulshan-e-Iqbal",6.0,6.0,"1,000 Sq. Yd.",['Hot badge'],Added: 1 week ago,https://images.zameen.com/smap/400/300/24.92754/67.104406/image.jpeg?quality=80&imageformat=jpeg
Ideally Located House Of 600 Square Yards Is Available For sale In Karachi,12 Crore,"Gulshan-e-Iqbal - Block 9, Gulshan-e-Iqbal",6.0,6.0,600 Sq. Yd.,['Hot badge'],Added: 1 week ago,https://images.zameen.com/smap/400/300/24.910435/67.090523/image.jpeg?quality=80&imageformat=jpeg
1000 Square Feet Flat In Stunning Gulshan-e-Iqbal - Block 7 Is Available For sale,98 Lakh,"Gulshan-e-Iqbal - Block 7, Gulshan-e-Iqbal",2.0,2.0,111 Sq. Yd.,['Hot badge'],Added: 1 week ago,https://images.zameen.com/smap/400/300/24.92754/67.104406/image.jpeg?quality=80&imageformat=jpeg
Exceptionally Well-placed House In Gulshan-e- Iqbal Town,6.25 Crore,"Gulshan-e-Iqbal - Block 13/D-2, Gulshan-e-Iqbal",3.0,3.0,400 Sq. Yd.,['Hot badge'],Added: 1 week ago,https://images.zameen.com/smap/400/300/24.908308/67.07207/image.jpeg?quality=80&imageformat=jpeg
"Corner 600 Sq. yd. Gulshan-e-iqbal, Block-6",9 Crore,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal",3.0,3.0,600 Sq. Yd.,['Hot badge'],Added: 1 week ago,https://images.zameen.com/smap/400/300/24.923765/67.09852/image.jpeg?quality=80&imageformat=jpeg
Ground + One 400 Sq. Yd.,7 Crore,"Gulshan-e-Iqbal - Block 10, Gulshan-e-Iqbal",5.0,5.0,400 Sq. Yd.,['Hot badge'],Added: 1 week ago,https://images.zameen.com/smap/400/300/24.912128/67.099257/image.jpeg?quality=80&imageformat=jpeg
500 Yard Double Storey Bungalow Block 4,8.5 Crore,"Gulshan-e-Iqbal - Block 4, Gulshan-e-Iqbal",6.0,6.0,500 Sq. Yd.,['Hot badge'],Added: 2 weeks ago,https://images.zameen.com/smap/400/300/24.934623/67.099164/image.jpeg?quality=80&imageformat=jpeg
Now Own Your Personal 3 Bed DD Flat At Very Reasonable Rates at Prime Location,1.35 Crore,"Gulshan-e-Iqbal - Block 4, Gulshan-e-Iqbal",3.0,3.0,135 Sq. Yd.,['Hot badge'],Added: 2 weeks ago,https://images.zameen.com/smap/400/300/24.934623/67.099164/image.jpeg?quality=80&imageformat=jpeg
Apartment For Sale,2.8 Crore,"Bahadurabad, Gulshan-e-Iqbal Town",3.0,3.0,183 Sq. Yd.,['Hot badge'],Added: 2 weeks ago,https://images.zameen.com/smap/400/300/24.882174/67.067306/image.jpeg?quality=80&imageformat=jpeg
500 Sq Yd House At Main 200 Ft Road Between Commercial Line Available For Sale Gulshan E Iqbal Block 13-d/1,17 Crore,"Gulshan-e-Iqbal - Block 13/D-1, Gulshan-e-Iqbal",5.0,5.0,500 Sq. Yd.,['Hot badge'],Added: 2 weeks ago (Updated: 2 weeks ago),https://media.zameen.com/thumbnails/201330595-400x300.webp
3 Bedroom And Lounge 1st Floor Vip Block 11 Main Rashid Minhas Road,1.05 Crore,"Gulshan-e-Iqbal - Block 11, Gulshan-e-Iqbal",3.0,2.0,117 Sq. Yd.,['Trusted badge'],Added: 4 days ago (Updated: 4 days ago),https://media.zameen.com/thumbnails/192185923-400x300.webp
2 Bed D D Flat For Sale,80 Lakh,"Gulshan-e-Iqbal - Block 7, Gulshan-e-Iqbal",2.0,2.0,94 Sq. Yd.,['Trusted badge'],Added: 4 days ago (Updated: 3 days ago),https://media.zameen.com/thumbnails/198981386-400x300.webp
Brand New House 500 Square Yard Ground Plus One For Sale,11 Crore,"Gulshan-e-Iqbal - Block 7, Gulshan-e-Iqbal",8.0,6.0,500 Sq. Yd.,['Trusted badge'],Added: 4 days ago (Updated: 3 days ago),https://media.zameen.com/thumbnails/195085328-400x300.webp
Rabbi Residency 2 Bed Dd 3rd Floor Portion With Lift In Block 13 D-3,70 Lakh,"Gulshan-e-Iqbal - Block 13/D-3, Gulshan-e-Iqbal",2.0,2.0,94 Sq. Yd.,['Trusted badge'],Added: 4 days ago (Updated: 3 days ago),https://media.zameen.com/thumbnails/195483361-400x300.webp
Reserve A Upper Portion Of 1800 Square Feet Now In Gulshan-E-Iqbal - Block 11,1.65 Crore,"Gulshan-e-Iqbal - Block 11, Gulshan-e-Iqbal",3.0,3.0,200 Sq. Yd.,['Trusted badge'],Added: 4 days ago (Updated: 3 days ago),https://media.zameen.com/thumbnails/199792127-400x300.webp
2 Bed D. d Flat For Sale,1.05 Crore,"Gulshan-e-Iqbal - Block 11, Gulshan-e-Iqbal",2.0,2.0,111 Sq. Yd.,['Trusted badge'],Added: 4 days ago (Updated: 3 days ago),https://media.zameen.com/thumbnails/200578204-400x300.webp
Portion For Sale,1.45 Crore,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal",2.0,2.0,120 Sq. Yd.,['Trusted badge'],Added: 4 days ago (Updated: 4 days ago),https://media.zameen.com/thumbnails/200580619-400x300.webp
A Palatial Residence For Sale In Gulshan-E-Iqbal - Block 11 Karachi,70 Lakh,"Gulshan-e-Iqbal - Block 11, Gulshan-e-Iqbal",2.0,2.0,111 Sq. Yd.,['Trusted badge'],Added: 4 days ago (Updated: 3 days ago),https://media.zameen.com/thumbnails/198808181-400x300.webp
BUNGALOW FOR SALE,6.45 Crore,"Gulshan-e-Iqbal - Block 4, Gulshan-e-Iqbal",5.0,5.0,325 Sq. Yd.,"['Hot badge', 'Trusted badge']",Added: 3 weeks ago,https://images.zameen.com/smap/400/300/24.934623/67.099164/image.jpeg?quality=80&imageformat=jpeg
1150 Square Feet Flat In Central Gulshan-e-Iqbal Town For Sale,1.3 Crore,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",3.0,3.0,128 Sq. Yd.,['Hot badge'],Added: 3 weeks ago,https://images.zameen.com/smap/400/300/24.924038/67.087233/image.jpeg?quality=80&imageformat=jpeg
House Available For Sale,5.75 Crore,"Gulshan-e-Iqbal - Block 4, Gulshan-e-Iqbal",6.0,6.0,240 Sq. Yd.,['Hot badge'],Added: 3 weeks ago (Updated: 3 weeks ago),https://images.zameen.com/smap/400/300/24.934623/67.099164/image.jpeg?quality=80&imageformat=jpeg
1500 Square Yards House For sale In Beautiful Gulshan-e-Iqbal - Block 4,18 Crore,"Gulshan-e-Iqbal - Block 4, Gulshan-e-Iqbal",,,"1,500 Sq. Yd.",['Hot badge'],Added: 3 weeks ago,https://images.zameen.com/smap/400/300/24.934623/67.099164/image.jpeg?quality=80&imageformat=jpeg
Mateen Arcade For Sale In Gulshan E Iqbal Block 7,92 Lakh,"Gulshan-e-Iqbal - Block 7, Gulshan-e-Iqbal",2.0,3.0,107 Sq. Yd.,['Hot badge'],Added: 3 weeks ago (Updated: 3 weeks ago),https://images.zameen.com/smap/400/300/24.92754/67.104406/image.jpeg?quality=80&imageformat=jpeg
260 Square Yards House In Gulshan-e-Iqbal - Block 5 For sale At Good Location,7.5 Crore,"Gulshan-e-Iqbal - Block 5, Gulshan-e-Iqbal",6.0,6.0,260 Sq. Yd.,['Hot badge'],Added: 3 weeks ago,https://images.zameen.com/smap/400/300/24.919484/67.089765/image.jpeg?quality=80&imageformat=jpeg
Gulshan-e-iqbal Bhayani Heights,1 Crore,"Gulshan-e-Iqbal Town, Karachi",2.0,2.0,100 Sq. Yd.,['Hot badge'],Added: 3 weeks ago,https://images.zameen.com/smap/400/300/24.898465/67.0625/image.jpeg?quality=80&imageformat=jpeg
Stunning 900 Square Feet Flat In Gulshan-E-Iqbal - Block 7 Available,90 Lakh,"Gulshan-e-Iqbal - Block 7, Gulshan-e-Iqbal",2.0,2.0,100 Sq. Yd.,['Hot badge'],Added: 3 weeks ago (Updated: 3 weeks ago),https://images.zameen.com/smap/400/300/24.92754/67.104406/image.jpeg?quality=80&imageformat=jpeg
Flat Of 2200 Square Feet Available In Gulshan-E-Iqbal Town,2.5 Crore,"Gulshan-e-Iqbal Town, Karachi",4.0,4.0,244 Sq. Yd.,['Hot badge'],Added: 4 weeks ago (Updated: 3 weeks ago),https://images.zameen.com/smap/400/300/24.898465/67.0625/image.jpeg?quality=80&imageformat=jpeg
Corner 500 Yard Bungalow In Block 7 Gulshan,12.75 Crore,"Gulshan-e-Iqbal - Block 7, Gulshan-e-Iqbal",6.0,6.0,500 Sq. Yd.,['Hot badge'],Added: 4 weeks ago (Updated: 4 weeks ago),https://media.zameen.com/thumbnails/199251534-400x300.webp
3bed Dd 3rd Floor Apartment In Block 7,1.21 Crore,"Gulshan-e-Iqbal - Block 7, Gulshan-e-Iqbal",3.0,3.0,144 Sq. Yd.,['Hot badge'],Added: 4 weeks ago (Updated: 4 weeks ago),https://media.zameen.com/thumbnails/199262184-400x300.webp
Buying A House In Karachi?,8.15 Crore,"Gulshan-e-Iqbal - Block 3, Gulshan-e-Iqbal",6.0,6.0,240 Sq. Yd.,['Hot badge'],Added: 15 hours ago (Updated: 14 hours ago),https://images.zameen.com/smap/400/300/24.928318/67.092855/image.jpeg?quality=80&imageformat=jpeg
2160 Square Feet Lower Portion Available For Sale In Gulshan-E-Iqbal - Block 7 If You Hurry,3.1 Crore,"Gulshan-e-Iqbal - Block 7, Gulshan-e-Iqbal",3.0,3.0,240 Sq. Yd.,['Hot badge'],Added: 15 hours ago (Updated: 15 hours ago),https://images.zameen.com/smap/400/300/24.9275/67.1044/image.jpeg?quality=80&imageformat=jpeg
A Palatial Residence For sale In Gulshan-e-Iqbal - Block 5 Karachi,2.1 Crore,"Gulshan-e-Iqbal - Block 5, Gulshan-e-Iqbal",3.0,3.0,150 Sq. Yd.,['Hot badge'],Added: 18 hours ago,https://media.zameen.com/thumbnails/203568784-400x300.webp
Bungalow for sale,22 Crore,"Gulshan-e-Iqbal - Block 8, Gulshan-e-Iqbal",7.0,6.0,"1,000 Sq. Yd.",['Hot badge'],Added: 18 hours ago,https://images.zameen.com/smap/400/300/24.90628/67.086254/image.jpeg?quality=80&imageformat=jpeg
Leased Brand New Flat For Sale In Brand New Project,75 Lakh,"Gulshan-e-Iqbal - Block 4, Gulshan-e-Iqbal",2.0,2.0,83 Sq. Yd.,['Hot badge'],Added: 1 day ago (Updated: 23 hours ago),https://media.zameen.com/thumbnails/203514313-400x300.webp
"Fully renovated, Single Storey",9 Crore,"Gulshan-e-Iqbal Town, Karachi",4.0,4.0,600 Sq. Yd.,['Hot badge'],Added: 4 days ago,https://images.zameen.com/smap/400/300/24.898465/67.0625/image.jpeg?quality=80&imageformat=jpeg
Second Floor Portion With Roof West Open Available,2.25 Crore,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal",3.0,3.0,200 Sq. Yd.,['Trusted badge'],Added: 4 days ago (Updated: 3 days ago),https://media.zameen.com/thumbnails/203015778-400x300.webp
3 Bed Dd Flat For Sale With All Necessities Near In Alamgir Road,2.45 Crore,"Alamgir Road, Gulshan-e-Iqbal Town",3.0,3.0,167 Sq. Yd.,['No badges'],Added: 4 days ago (Updated: 3 days ago),https://media.zameen.com/thumbnails/203231240-400x300.webp
Brand New 1st Floor 240 Yards Portion Wide Road In Gulshan Block 1 For Sale,2.9 Crore,"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal",3.0,3.0,240 Sq. Yd.,['No badges'],Added: 4 days ago,https://media.zameen.com/thumbnails/193686130-400x300.webp
Portion Available For Sale,1.78 Crore,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal",3.0,3.0,150 Sq. Yd.,['No badges'],Added: 4 days ago (Updated: 3 days ago),https://media.zameen.com/thumbnails/203236103-400x300.webp
In Gulshan-e-Iqbal - Block 16 1200 Square Feet Flat For sale,98 Lakh,"Gulshan-e-Iqbal - Block 16, Gulshan-e-Iqbal",3.0,3.0,133 Sq. Yd.,['No badges'],Added: 4 days ago,https://media.zameen.com/thumbnails/186696566-400x300.webp
Get In Touch Now To Buy A Flat In Gulshan-e-Iqbal - Block 13/A,75 Lakh,"Gulshan-e-Iqbal - Block 13/A, Gulshan-e-Iqbal",2.0,2.0,78 Sq. Yd.,['Verified badge'],Added: 4 days ago,https://media.zameen.com/thumbnails/192921130-400x300.webp
"Discover luxury living in the heart of Bahadurabad with this brand new, 3-bed DD apartment for sale!!",3.25 Crore,"Bahadurabad, Gulshan-e-Iqbal Town",,,178 Sq. Yd.,['Trusted badge'],Added: 4 days ago,https://media.zameen.com/thumbnails/198973014-400x300.webp
Reserve A Centrally Located Flat In Gulshan-e-Iqbal - Block 3,85 Lakh,"Gulshan-e-Iqbal - Block 3, Gulshan-e-Iqbal",2.0,2.0,110 Sq. Yd.,['Verified badge'],Added: 4 days ago,https://media.zameen.com/thumbnails/203192422-400x300.webp
Gulshan Block 6 And 7 Divided Road,1.25 Crore,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal",3.0,3.0,128 Sq. Yd.,['Hot badge'],Added: 5 days ago,https://images.zameen.com/smap/400/300/24.923765/67.09852/image.jpeg?quality=80&imageformat=jpeg
West Open Double Storey House,7 Crore,"Gulshan-e-Iqbal - Block 13/D-1, Gulshan-e-Iqbal",7.0,6.0,400 Sq. Yd.,['Hot badge'],Added: 5 days ago,https://images.zameen.com/smap/400/300/24.91567/67.083628/image.jpeg?quality=80&imageformat=jpeg
Penthouse For Sale,4.5 Crore,"Sharfabad, Gulshan-e-Iqbal Town",5.0,5.0,389 Sq. Yd.,['Hot badge'],Added: 6 days ago,https://images.zameen.com/smap/400/300/24.8841/67.0661/image.jpeg?quality=80&imageformat=jpeg
Gulshan Iqbal Block 6 400 Yard 2.5 Storey West Open,7.7 Crore,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal",8.0,6.0,400 Sq. Yd.,['Hot badge'],Added: 1 week ago,https://images.zameen.com/smap/400/300/24.923765/67.09852/image.jpeg?quality=80&imageformat=jpeg
Flat For Sale,1 Crore,"Gulshan-e-Iqbal - Block 7, Gulshan-e-Iqbal",3.0,2.0,139 Sq. Yd.,['Hot badge'],Added: 1 week ago,https://images.zameen.com/smap/400/300/24.92754/67.104406/image.jpeg?quality=80&imageformat=jpeg
Flat For Sale In Gulshan E Iqbal Block-11,1.5 Crore,"Gulshan-e-Iqbal - Block 11, Gulshan-e-Iqbal",4.0,3.0,151 Sq. Yd.,['Hot badge'],Added: 1 week ago,https://images.zameen.com/smap/400/300/24.914152/67.108169/image.jpeg?quality=80&imageformat=jpeg
Flat For Sale In Gulshan E Iqbal Block 10/a,78 Lakh,"Gulshan-e-Iqbal - Block 10-A, Gulshan-e-Iqbal",3.0,2.0,100 Sq. Yd.,['Hot badge'],Added: 1 week ago,https://images.zameen.com/smap/400/300/24.911726/67.098014/image.jpeg?quality=80&imageformat=jpeg
Flat Is Available For Gulshan-e-iqbal Block 13 D-2,75 Lakh,"Gulshan-e-Iqbal - Block 13/D-2, Gulshan-e-Iqbal",2.0,2.0,103 Sq. Yd.,['Hot badge'],Added: 1 week ago,https://images.zameen.com/smap/400/300/24.908308/67.07207/image.jpeg?quality=80&imageformat=jpeg
